,price,Address,area,Bedrooms,Bathrooms
156,16000000.0,other,1750.0,3.0,2.0
157,3250000.0,other,1050.0,2.0,2.0
158,5500000.0,other,1100.0,2.0,2.0
159,9000000.0,other,1815.0,3.0,3.0
160,17500000.0,other,1600.0,3.0,2.0
161,9900000.0,other,1650.0,4.0,3.0
162,8500000.0,other,1460.0,3.0,3.0
163,5890000.0,other,1150.0,3.0,2.0
164,9000000.0,"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1800.0,3.0,2.0
165,24000000.0,other,1632.0,3.0,3.0
166,12000000.0,other,1850.0,3.0,4.0
167,6400000.0,other,1390.0,3.0,3.0
168,33000000.0,other,3699.0,4.0,4.0
169,10000000.0,other,1908.0,4.0,3.0
170,8500000.0,other,1550.0,3.0,2.0
171,7400000.0,other,1480.0,3.0,3.0
172,4300000.0,other,968.0,3.0,2.0
173,5800000.0,other,1150.0,2.0,2.0
174,9000000.0,other,1750.0,3.0,3.0
175,3500000.0,other,800.0,3.0,2.0
176,12500000.0,other,1700.0,2.0,2.0
177,6200000.0,other,1210.0,2.0,3.0
178,2550000.0,other,540.0,2.0,2.0
179,6000000.0,other,1100.0,2.0,2.0
180,11000000.0,other,1610.0,3.0,3.0
181,11000000.0,"Indirapuram, Ghaziabad, Delhi NCR",2245.0,4.0,3.0
182,4100000.0,other,900.0,3.0,2.0
183,9300000.0,other,1490.0,3.0,3.0
184,7500000.0,other,1250.0,3.0,2.0
185,4500000.0,other,1130.0,3.0,2.0
186,9400000.0,other,1625.0,3.0,2.0
187,3400000.0,other,900.0,2.0,2.0
188,7000000.0,other,1008.0,3.0,2.0
189,22500000.0,other,1900.0,3.0,3.0
190,20000000.0,other,2428.0,3.0,4.0
191,9700000.0,other,1250.0,3.0,2.0
192,13500000.0,other,2800.0,4.0,4.0
193,4500000.0,other,800.0,2.0,2.0
194,2650000.0,other,608.0,2.0,2.0
195,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
196,7000000.0,"Sector 119, Noida, Delhi NCR",1256.0,2.0,2.0
197,79000000.0,other,7200.0,5.0,6.0
198,6040000.0,other,1341.0,3.0,2.0
199,22000000.0,other,2835.0,4.0,5.0
200,3000000.0,other,630.0,2.0,2.0
201,23500000.0,other,2985.0,3.0,3.0
202,15000000.0,other,2550.0,4.0,4.0
203,11000000.0,other,1510.0,3.0,2.0
204,4500000.0,other,1000.0,3.0,2.0
205,5000000.0,other,1205.0,2.0,2.0
206,4000000.0,other,1010.0,2.0,2.0
207,6200000.0,other,950.0,3.0,2.0
208,9800000.0,"Sector 37D, Gurgaon, Delhi NCR",1765.0,3.0,3.0
209,6600000.0,"Sector 76, Noida, Delhi NCR",1455.0,3.0,3.0
210,5500000.0,other,1000.0,3.0,2.0
211,14000000.0,other,1750.0,3.0,4.0
212,15000000.0,"Sector 56, Gurgaon, Delhi NCR",1900.0,3.0,3.0
213,13200000.0,other,1935.0,3.0,3.0
214,2800000.0,other,800.0,2.0,2.0
215,14000000.0,other,1800.0,3.0,3.0
216,3400000.0,"Indirapuram, Ghaziabad, Delhi NCR",850.0,2.0,2.0
217,11500000.0,other,1478.0,2.0,2.0
218,3300000.0,other,900.0,2.0,2.0
219,6000000.0,other,1234.0,2.0,2.0
220,5600000.0,other,1507.0,2.0,3.0
221,5800000.0,other,1365.0,3.0,3.0
222,2100000.0,other,615.0,2.0,2.0
223,5200000.0,other,1140.0,2.0,2.0
224,8000000.0,other,1325.0,2.0,2.0
225,7650000.0,other,997.0,2.0,2.0
226,5500000.0,other,1100.0,3.0,2.0
227,5400000.0,other,1405.0,3.0,2.0
228,8500000.0,other,1775.0,3.0,3.0
229,6000000.0,other,1000.0,3.0,3.0
230,17500000.0,other,1658.0,3.0,2.0
231,2450000.0,other,630.0,2.0,2.0
232,7300000.0,other,1742.0,3.0,2.0
233,14500000.0,other,1650.0,3.0,2.0
234,4800000.0,other,950.0,2.0,2.0
235,4200000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",800.0,2.0,2.0
236,12800000.0,other,1472.0,2.0,3.0
237,27500000.0,other,2250.0,4.0,4.0
238,12000000.0,other,1850.0,3.0,4.0
239,7500000.0,other,900.0,2.0,2.0
240,3500000.0,"Shalimar Garden Extension 1, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
241,3850000.0,other,720.0,2.0,2.0
242,8000000.0,other,1550.0,3.0,2.0
243,4350000.0,"Omicron 1, Greater Noida, Delhi NCR",1300.0,3.0,3.0
244,9000000.0,other,1536.0,2.0,2.0
245,5000000.0,other,1285.0,2.0,2.0
246,5800000.0,other,1350.0,3.0,2.0
247,4200000.0,"Sector 1, Greater Noida, Delhi NCR",1335.0,2.0,2.0
248,8900000.0,other,1000.0,2.0,2.0
249,9500000.0,other,1811.0,3.0,3.0
250,4600000.0,other,1175.0,3.0,2.0
251,20000000.0,other,1700.0,3.0,3.0
252,2900000.0,other,554.0,2.0,2.0
253,13500000.0,other,1500.0,4.0,3.0
254,4000000.0,"Sector 88, Faridabad, Delhi NCR",1250.0,2.0,2.0
255,28000000.0,other,2200.0,6.0,5.0
256,4000000.0,other,850.0,2.0,2.0
257,8000000.0,other,1000.0,2.0,2.0
258,12900000.0,other,1400.0,3.0,2.0
259,9000000.0,"Sector 76, Noida, Delhi NCR",1325.0,3.0,2.0
260,3200000.0,other,840.0,2.0,2.0
261,4100000.0,other,1065.0,3.0,2.0
262,7000000.0,other,1585.0,3.0,3.0
263,45000000.0,other,2700.0,4.0,4.0
264,7500000.0,other,1515.0,3.0,3.0
265,7100000.0,other,900.0,2.0,2.0
266,7000000.0,other,1135.0,2.0,2.0
267,8000000.0,other,1500.0,3.0,3.0
268,60000000.0,other,5000.0,5.0,6.0
269,5450000.0,other,1470.0,3.0,2.0
270,22000000.0,other,2700.0,4.0,4.0
271,15000000.0,other,2275.0,3.0,4.0
272,4900000.0,other,1475.0,3.0,3.0
273,12800000.0,other,1837.0,3.0,3.0
274,18000000.0,other,2400.0,4.0,2.0
275,9000000.0,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1950.0,4.0,3.0
276,14500000.0,other,1935.0,3.0,4.0
277,32500000.0,other,2400.0,3.0,3.0
278,26000000.0,other,2430.0,3.0,3.0
279,5900000.0,other,995.0,2.0,2.0
280,4800000.0,other,1000.0,3.0,3.0
281,12000000.0,"Sector 79, Gurgaon, Delhi NCR",1983.0,3.0,3.0
282,7800000.0,other,1295.0,2.0,2.0
283,7000000.0,other,1820.0,3.0,3.0
284,3500000.0,other,800.0,2.0,2.0
285,10800000.0,"Sector 137, Noida, Delhi NCR",1895.0,3.0,3.0
286,9200000.0,other,1000.0,2.0,2.0
287,10000000.0,other,1800.0,3.0,3.0
288,4800000.0,other,1487.0,3.0,2.0
289,17500000.0,other,2400.0,3.0,3.0
290,13500000.0,other,2300.0,3.0,3.0
291,8500000.0,other,1545.0,3.0,3.0
292,4500000.0,other,1000.0,2.0,2.0
293,15800000.0,other,2300.0,3.0,3.0
294,32500000.0,other,1829.0,3.0,3.0
295,6900000.0,"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1362.0,3.0,3.0
296,9000000.0,other,1380.0,3.0,2.0
297,2500000.0,other,560.0,2.0,2.0
298,29500000.0,other,3000.0,4.0,4.0
299,2200000.0,other,900.0,2.0,2.0
300,14800000.0,other,2050.0,3.0,4.0
301,47500000.0,other,4600.0,5.0,6.0
302,9500000.0,other,1775.0,3.0,3.0
303,2950000.0,other,1050.0,2.0,2.0
304,2550000.0,other,675.0,2.0,2.0
305,4500000.0,"Noida Extension, Greater Noida, Delhi NCR",1162.0,3.0,2.0
306,3479999.9999999995,other,700.0,2.0,2.0
307,5400000.0,other,1160.0,2.0,2.0
308,7200000.0,other,2095.0,4.0,3.0
309,4760000.0,other,1190.0,2.0,2.0
310,3200000.0,other,810.0,3.0,2.0
311,10500000.0,other,1695.0,3.0,3.0
312,3900000.0,"Sector 137, Noida, Delhi NCR",825.0,2.0,2.0
313,12500000.0,other,1850.0,3.0,3.0
314,6959999.999999999,"Sector 143, Noida, Delhi NCR",1340.0,3.0,3.0
315,2750000.0,other,850.0,2.0,2.0
316,35000000.0,other,8500.0,10.0,7.0
317,7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1380.0,2.0,2.0
318,6000000.0,other,1300.0,2.0,2.0
319,6000000.0,other,1000.0,2.0,2.0
320,4500000.0,other,1000.0,2.0,2.0
321,6000000.0,other,1350.0,3.0,2.0
322,8500000.0,other,1380.0,3.0,2.0
323,7500000.0,other,1170.0,3.0,2.0
324,4600000.0,other,936.0,3.0,2.0
325,5500000.0,"Sector 86, Faridabad, Delhi NCR",1646.0,3.0,3.0
326,5500000.0,other,1000.0,3.0,2.0
327,6690000.000000001,other,1625.0,3.0,2.0
328,4500000.0,other,800.0,2.0,2.0
329,7600000.0,other,1534.0,3.0,2.0
330,9000000.0,other,1675.0,3.0,2.0
331,2450000.0,other,710.0,2.0,2.0
332,5400000.0,other,1290.0,2.0,2.0
333,9700000.0,other,1758.0,3.0,4.0
334,8500000.0,other,1569.0,3.0,3.0
335,8000000.0,other,1488.0,3.0,2.0
336,4200000.0,other,1245.0,3.0,2.0
337,5500000.0,other,1200.0,3.0,2.0
338,20000000.0,other,3250.0,4.0,4.0
339,10000000.0,other,1850.0,3.0,3.0
340,6500000.0,other,1350.0,4.0,4.0
341,13600000.000000002,other,2150.0,3.0,3.0
342,14900000.0,other,1650.0,3.0,3.0
343,10500000.0,other,1650.0,3.0,3.0
344,11000000.0,other,1215.0,4.0,3.0
345,30500000.0,other,2700.0,4.0,3.0
346,8500000.0,other,1345.0,3.0,2.0
347,24000000.0,other,3050.0,4.0,4.0
348,7600000.0,other,1600.0,3.0,3.0
349,45000000.0,other,4064.0,4.0,5.0
350,6500000.0,other,1100.0,3.0,2.0
351,10500000.0,other,1100.0,2.0,2.0
352,30000000.0,other,4500.0,7.0,5.0
353,15000000.0,other,2160.0,3.0,3.0
354,3000000.0,other,785.0,2.0,2.0
355,10500000.0,other,2600.0,3.0,4.0
356,16500000.0,other,2465.0,4.0,4.0
357,5700000.0,other,1661.0,3.0,3.0
358,5600000.0,"Bhopura, Ghaziabad, Delhi NCR",1655.0,3.0,3.0
359,2300000.0,other,585.0,2.0,2.0
360,15500000.0,other,1600.0,3.0,2.0
361,7000000.0,"Sector 82, Gurgaon, Delhi NCR",1133.0,2.0,2.0
362,3150000.0,other,1050.0,2.0,2.0
363,10000000.0,other,1650.0,3.0,3.0
364,3400000.0,other,720.0,2.0,2.0
365,35200000.0,other,2985.0,3.0,3.0
366,5000000.0,other,1350.0,3.0,2.0
367,3200000.0,"Govindpuram, Ghaziabad, Delhi NCR",835.0,3.0,2.0
368,9800000.0,other,1839.0,3.0,4.0
369,4880000.0,other,1180.0,2.0,2.0
370,3200000.0,other,650.0,2.0,2.0
371,5300000.0,"Sector 143, Noida, Delhi NCR",1175.0,2.0,2.0
372,5250000.0,other,1100.0,2.0,2.0
373,5500000.0,other,1400.0,3.0,2.0
374,5000000.0,other,1000.0,2.0,2.0
375,24400000.0,other,2000.0,3.0,3.0
376,4300000.0,other,880.0,2.0,2.0
377,3500000.0,other,700.0,3.0,2.0
378,12500000.0,other,2000.0,3.0,3.0
379,17000000.0,other,1500.0,3.0,3.0
380,2650000.0,other,540.0,2.0,2.0
381,8000000.0,other,1093.0,2.0,2.0
382,4000000.0,other,1100.0,3.0,2.0
383,2500000.0,other,600.0,2.0,2.0
384,25000000.0,other,2700.0,4.0,5.0
385,11000000.0,other,1000.0,2.0,2.0
386,11399999.999999998,other,1400.0,3.0,3.0
387,5500000.0,other,1146.0,2.0,2.0
388,10600000.0,other,1730.0,3.0,3.0
389,11000000.0,other,1500.0,4.0,4.0
390,7350000.0,other,1435.0,3.0,2.0
391,5000000.0,"Omicron 3, Greater Noida, Delhi NCR",1395.0,3.0,2.0
392,3800000.0,"Indirapuram, Ghaziabad, Delhi NCR",887.0,2.0,2.0
393,5000000.0,"Bhopura, Ghaziabad, Delhi NCR",1290.0,3.0,2.0
394,6500000.0,other,862.0,3.0,3.0
395,3100000.0,"Raj Nagar Extension, Ghaziabad, Raj Nagar Extension, Ghaziabad, Delhi NCR",1075.0,2.0,2.0
396,9000000.0,other,1660.0,3.0,4.0
397,11000000.0,other,2000.0,3.0,4.0
398,15000000.0,other,1350.0,3.0,2.0
399,13500000.0,other,1850.0,4.0,3.0
400,24000000.0,other,2000.0,3.0,3.0
401,6000000.0,other,1150.0,2.0,2.0
402,37500000.0,other,2800.0,4.0,4.0
403,5950000.0,other,1330.0,3.0,2.0
404,5140000.0,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1360.0,3.0,2.0
405,9000000.0,other,1600.0,3.0,3.0
406,3500000.0,other,625.0,2.0,2.0
407,22500000.0,other,1800.0,3.0,3.0
408,6800000.0,"Indirapuram, Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1095.0,2.0,2.0
409,22000000.0,other,3500.0,4.0,4.0
410,11000000.0,other,1150.0,2.0,2.0
411,8400000.0,other,1080.0,2.0,2.0
412,21000000.0,other,1600.0,3.0,2.0
413,12500000.0,other,1110.0,3.0,3.0
414,5700000.0,other,1100.0,2.0,2.0
415,4000000.0,other,1080.0,3.0,2.0
416,15000000.0,other,1350.0,3.0,3.0
417,4000000.0,other,1080.0,2.0,2.0
418,5200000.0,other,1585.0,3.0,3.0
419,2800000.0,"Omicron 1, Greater Noida, Delhi NCR",870.0,2.0,2.0
420,8000000.0,other,2032.0,3.0,4.0
421,25000000.0,other,2734.0,4.0,4.0
422,13899999.999999998,other,1440.0,3.0,4.0
423,15000000.0,other,1900.0,3.0,3.0
424,18500000.0,other,1250.0,3.0,2.0
425,3000000.0,other,700.0,2.0,2.0
426,4500000.0,other,1000.0,2.0,2.0
427,5800000.0,other,900.0,2.0,2.0
428,23500000.0,other,3200.0,4.0,5.0
429,4700000.0,other,1110.0,3.0,2.0
430,17000000.0,other,1500.0,4.0,2.0
431,5200000.0,other,750.0,2.0,2.0
432,10000000.0,other,1710.0,3.0,3.0
433,7500000.0,"Sector 68, Gurgaon, Delhi NCR",1220.0,2.0,2.0
434,4200000.0,other,1040.0,2.0,2.0
435,12000000.0,other,1600.0,4.0,4.0
436,4200000.0,"NH 24, Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1135.0,2.0,2.0
437,14000000.0,other,2000.0,4.0,4.0
438,6300000.0,other,900.0,2.0,2.0
439,27500000.0,other,3332.0,4.0,5.0
440,10700000.0,other,1480.0,3.0,2.0
441,2800000.0,other,930.0,2.0,2.0
442,16000000.0,other,1500.0,3.0,2.0
443,2500000.0,other,700.0,2.0,2.0
